All device pins and their pinmux options
Pin,Name,Selected Mode,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
C14,GPIO83,,GPIO83,,EMIF1_D1,,GPIO83,,,,GPIO83,,,,GPIO83,,ESC_RX0_DATA3,
D14,GPIO148,,GPIO148,EPWM2B,,,GPIO148,,,,GPIO148,,ESC_GPO15,,GPIO148,,ESC_PHY0_LINKSTATUS,
A13,GPIO149,,GPIO149,EPWM3A,,,GPIO149,,,,GPIO149,,ESC_GPO16,,GPIO149,,ESC_PHY1_LINKSTATUS,
B13,GPIO150,,GPIO150,EPWM3B,,,GPIO150,,,,GPIO150,,ESC_GPO17,,GPIO150,,ESC_I2C_SDA,
C13,GPIO151,,GPIO151,EPWM4A,,,GPIO151,,,,GPIO151,,ESC_GPO18,,GPIO151,,ESC_I2C_SCL,
D13,GPIO152,,GPIO152,EPWM4B,,,GPIO152,,,,GPIO152,,ESC_GPO19,,GPIO152,,ESC_MDIO_CLK,
A12,GPIO153,,GPIO153,EPWM5A,,,GPIO153,,,,GPIO153,,ESC_GPO20,,GPIO153,,ESC_MDIO_DATA,
B12,GPIO154,,GPIO154,EPWM5B,,,GPIO154,,,,GPIO154,,ESC_GPO21,,GPIO154,,ESC_PHY_CLK,
C12,GPIO155,,GPIO155,EPWM6A,,,GPIO155,,,,GPIO155,,ESC_GPO22,,GPIO155,,ESC_PHY_RESETn,
D12,GPIO156,,GPIO156,EPWM6B,,,GPIO156,,,,GPIO156,,ESC_GPO23,,GPIO156,,ESC_TX0_ENA,
B10,GPIO157,,GPIO157,EPWM7A,,,GPIO157,,,,GPIO157,,ESC_GPO24,,GPIO157,,ESC_TX0_CLK,
A11,GPIO84,,GPIO84,,,,GPIO84,SCIA_TX,MDXB,,GPIO84,,,UARTA_TX,GPIO84,,ESC_TX0_ENA,MDXA
B11,GPIO85,,GPIO85,,EMIF1_D0,,GPIO85,SCIA_RX,MDRB,,GPIO85,,,UARTA_RX,GPIO85,,ESC_TX0_CLK,MDRA
C11,GPIO86,,GPIO86,,EMIF1_A13,EMIF1_CAS,GPIO86,SCIB_TX,MCLKXB,,GPIO86,,,,GPIO86,,ESC_PHY0_LINKSTATUS,MCLKXA
D11,GPIO87,,GPIO87,,EMIF1_A14,EMIF1_RAS,GPIO87,SCIB_RX,MFSXB,,GPIO87,EMIF1_DQM3,,,GPIO87,,ESC_TX0_DATA0,MFSXA
C10,GPIO158,,GPIO158,EPWM7B,,,GPIO158,,,,GPIO158,,ESC_GPO25,,GPIO158,,ESC_TX0_DATA0,
D10,GPIO159,,GPIO159,EPWM8A,,,GPIO159,,,,GPIO159,,ESC_GPO26,,GPIO159,,ESC_TX0_DATA1,
B9,GPIO160,,GPIO160,EPWM8B,,,GPIO160,,,,GPIO160,,ESC_GPO27,,GPIO160,,ESC_TX0_DATA2,
C9,GPIO161,,GPIO161,EPWM9A,,,GPIO161,,,,GPIO161,,ESC_GPO28,,GPIO161,,ESC_TX0_DATA3,
D9,GPIO162,,GPIO162,EPWM9B,,,GPIO162,,,,GPIO162,,ESC_GPO29,,GPIO162,,ESC_RX0_DV,
A8,GPIO163,,GPIO163,EPWM10A,,,GPIO163,,,,GPIO163,,ESC_GPO30,,GPIO163,,ESC_RX0_CLK,
B8,GPIO164,,GPIO164,EPWM10B,,,GPIO164,,,,GPIO164,,ESC_GPO31,,GPIO164,,ESC_RX0_ERR,
C8,GPIO0,,GPIO0,EPWM1A,,,GPIO0,,I2CA_SDA,,GPIO0,CM-I2CA_SDA,ESC_GPI0,,GPIO0,FSITXA_D0,,
D8,GPIO1,,GPIO1,EPWM1B,,MFSRB,GPIO1,,I2CA_SCL,,GPIO1,CM-I2CA_SCL,ESC_GPI1,,GPIO1,FSITXA_D1,,
A7,GPIO2,,GPIO2,EPWM2A,,,GPIO2,OUTPUTXBAR1,I2CB_SDA,,GPIO2,,ESC_GPI2,,GPIO2,FSITXA_CLK,,
B7,GPIO3,,GPIO3,EPWM2B,OUTPUTXBAR2,MCLKRB,GPIO3,OUTPUTXBAR2,I2CB_SCL,,GPIO3,,ESC_GPI3,,GPIO3,FSIRXA_D0,,
C7,GPIO4,,GPIO4,EPWM3A,,,GPIO4,OUTPUTXBAR3,CANA_TX,,GPIO4,MCAN_TX,ESC_GPI4,,GPIO4,FSIRXA_D1,,
D7,GPIO5,,GPIO5,EPWM3B,MFSRA,OUTPUTXBAR3,GPIO5,,CANA_RX,,GPIO5,MCAN_RX,ESC_GPI5,,GPIO5,FSIRXA_CLK,,
A6,GPIO6,,GPIO6,EPWM4A,OUTPUTXBAR4,EXTSYNCOUT,GPIO6,EQEP3_A,CANB_TX,,GPIO6,,ESC_GPI6,,GPIO6,FSITXB_D0,,
B6,GPIO7,,GPIO7,EPWM4B,MCLKRA,OUTPUTXBAR5,GPIO7,EQEP3_B,CANB_RX,,GPIO7,,ESC_GPI7,,GPIO7,FSITXB_D1,,
C6,GPIO88,,GPIO88,,EMIF1_A15,EMIF1_DQM0,GPIO88,,,,GPIO88,EMIF1_DQM1,,,GPIO88,,ESC_TX0_DATA1,
D6,GPIO89,,GPIO89,,EMIF1_A16,EMIF1_DQM1,GPIO89,,SCIC_TX,,GPIO89,EMIF1_CAS,,,GPIO89,,ESC_TX0_DATA2,
A5,GPIO90,,GPIO90,,EMIF1_A17,EMIF1_DQM2,GPIO90,,SCIC_RX,,GPIO90,EMIF1_RAS,,,GPIO90,,ESC_TX0_DATA3,
